Bandwidth: 100 Mbit/s
RTT: 2000 ms
BDP: 25000000 B/s
Max In-Flight Packets: 19531
[server] starting server with pid 878130, port 18080, cc cubic, iw 32
[client_side_proxy] starting proxy with pid 878131, port 18081, cc cubic
[server][session 0] open
[client] connection establishment time: 4.004794 s
[client_side_proxy][control_session 0] open
[client_side_proxy][control_session 0] handover state received
[client_side_proxy][control_session 0] closed
[client_side_proxy][proxy_session 0] open
[client] migrated to 10.0.0.102:45861
[client_side_proxy][proxy_session 0][stream 0] open
[server][session 0][stream 0] open
[client] time to first byte: 8.062824 s
[client] second 23.996566: 61125881.780279 bit/s, bytes received: 767522 B, packets received: 633
[client] second 24.096845: 61270953.637798 bit/s, bytes received: 768027 B, packets received: 632
[client] second 24.197111: 61377321.474906 bit/s, bytes received: 769254 B, packets received: 634
[client] second 24.297174: 61501200.931124 bit/s, bytes received: 769254 B, packets received: 634
[client] second 24.397665: 61004311.627071 bit/s, bytes received: 766295 B, packets received: 632
[client] second 24.497860: 33297651.062200 bit/s, bytes received: 417034 B, packets received: 343
[client] second 24.598047: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 24.698191: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 24.798374: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 24.898424: 28751534.240578 bit/s, bytes received: 359575 B, packets received: 296
[client] second 24.998500: 61592101.763293 bit/s, bytes received: 770481 B, packets received: 636
[client] second 25.098562: 61208355.946362 bit/s, bytes received: 765580 B, packets received: 631
[client] second 25.199379: 41018898.989178 bit/s, bytes received: 516926 B, packets received: 426
[client] second 25.299604: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 25.399836: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 25.500063: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 25.600245: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 25.700370: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 25.800547: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 25.900726: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 26.000910: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 26.101040: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 26.201263: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 26.301488: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 26.401669: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 26.501887: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 26.601906: 58347875.527265 bit/s, bytes received: 729485 B, packets received: 601
[client] second 26.701938: 61381824.411068 bit/s, bytes received: 767522 B, packets received: 632
[client] second 26.801991: 61409368.625341 bit/s, bytes received: 768027 B, packets received: 634
[client] second 26.902086: 61383803.645550 bit/s, bytes received: 768027 B, packets received: 633
[client] second 27.002123: 61419479.628757 bit/s, bytes received: 768027 B, packets received: 632
[client] second 27.102159: 61281682.606216 bit/s, bytes received: 766295 B, packets received: 632
[client] second 27.202634: 60858648.281821 bit/s, bytes received: 764346 B, packets received: 630
[client] second 27.302702: 61302439.398186 bit/s, bytes received: 766800 B, packets received: 632
[client] second 27.402830: 61322904.876619 bit/s, bytes received: 767522 B, packets received: 632
[client] second 27.503220: 61301751.361210 bit/s, bytes received: 769254 B, packets received: 634
[client] second 27.603289: 61301162.747472 bit/s, bytes received: 766800 B, packets received: 632
[client] second 27.703350: 61462500.400506 bit/s, bytes received: 768749 B, packets received: 633
[client] second 27.803673: 61146773.527857 bit/s, bytes received: 766800 B, packets received: 632
[client] second 27.903725: 61311684.450477 bit/s, bytes received: 766800 B, packets received: 631
[client] second 28.003788: 61502056.495551 bit/s, bytes received: 769254 B, packets received: 635
[client] second 28.103804: 61391513.756354 bit/s, bytes received: 767522 B, packets received: 631
[client] second 28.204107: 2095423.711103 bit/s, bytes received: 26272 B, packets received: 22
[client] second 28.304342: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 28.404566: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 28.504745: 0.000000 bit/s, bytes received: 0 B, packets received: 0
[client] second 28.604760: 60115671.619892 bit/s, bytes received: 751564 B, packets received: 619
[client] second 28.704779: 61235149.266025 bit/s, bytes received: 765580 B, packets received: 632
[client] second 28.804939: 61147954.354669 bit/s, bytes received: 765573 B, packets received: 631
[client] second 28.904981: 61474133.445244 bit/s, bytes received: 768749 B, packets received: 632
[client] second 29.005033: 61409835.704780 bit/s, bytes received: 768027 B, packets received: 633
[client] second 29.105071: 61517134.807063 bit/s, bytes received: 769254 B, packets received: 634
[client] second 29.205131: 60678578.720666 bit/s, bytes received: 758933 B, packets received: 626
[client] second 29.305171: 61318929.755569 bit/s, bytes received: 766800 B, packets received: 632
[client] second 29.405342: 61435523.284382 bit/s, bytes received: 769254 B, packets received: 635
[client] second 29.505693: 61186883.901116 bit/s, bytes received: 767522 B, packets received: 631
[client] second 29.605708: 61433181.540518 bit/s, bytes received: 768027 B, packets received: 633
[client] second 29.705745: 61320845.248834 bit/s, bytes received: 766800 B, packets received: 632
[client] second 29.806122: 61211589.409245 bit/s, bytes received: 768027 B, packets received: 633
[client] second 29.906173: 61370611.959606 bit/s, bytes received: 767522 B, packets received: 630
